item_name,year,indent_level,cpi_u,cpi_w,bls_item_code,bls_series_id_cpi_u_nsa
Unsampled items,2003,2,0.095,0.085,,
Miscellaneous personal goods,2003,2,0.192,0.176,SEGE,CUUR0000SEGE
All items,2003,0,100.0,100.0,SA0,CUUR0000SA0
Commodities,2003,1,40.117,44.582,SAC,CUUR0000SAC
Commodities less food and beverages,2003,1,24.733,27.43,SACL11,CUUR0000SACL11
Nondurables less food and beverages,2003,2,13.458,14.671,SANL11,CUUR0000SANL11
"Nondurables less food, beverages, and apparel",2003,2,9.483,10.315,SANL113,CUUR0000SANL113
Durables,2003,2,11.275,12.759,SAD,CUUR0000SAD
Services,2003,1,59.883,55.418,SAS,CUUR0000SAS
Rent of shelter,2003,1,32.494,29.813,SAS2RS,CUUR0000SAS2RS
Transportation services,2003,1,6.319,6.241,SAS4,CUUR0000SAS4
Other services,2003,1,10.896,10.02,SAS367,CUUR0000SAS367
All items less food,2003,1,85.617,83.939,SA0L1,CUUR0000SA0L1
All items less shelter,2003,1,67.122,69.849,SA0L2,CUUR0000SA0L2
All items less medical care,2003,1,93.926,95.031,SA0L5,CUUR0000SA0L5
Commodities less food,2003,1,25.734,28.52,SACL1,CUUR0000SACL1
Nondurables less food,2003,1,14.459,15.761,SANL1,CUUR0000SANL1
Nondurables less food and apparel,2003,1,10.484,11.405,SANL13,CUUR0000SANL13
Nondurables,2003,1,28.842,31.823,SAN,CUUR0000SAN
Apparel less footwear,2003,1,3.197,3.345,SA311,CUUR0000SA311
Services less rent of shelter,2003,1,27.389,25.605,SASL2RS,CUUR0000SASL2RS
Services less medical care services,2003,1,55.308,51.592,SASL5,CUUR0000SASL5
Energy,2003,1,7.08,8.114,SA0E,CUUR0000SA0E
All items less energy,2003,1,92.92,91.886,SA0LE,CUUR0000SA0LE
All items less food and energy,2003,1,78.537,75.825,SA0L1E,CUUR0000SA0L1E
Commodities less food and energy commodities,2003,2,22.254,24.337,SACL1E,CUUR0000SACL1E
Energy commodities,2003,2,3.48,4.183,SACE,CUUR0000SACE
Services less energy services,2003,2,56.283,51.488,SASLE,CUUR0000SASLE
Domestically produced farm food,2003,1,6.96,8.111,SAN1D,CUUR0000SAN1D
Utilities and public transportation,2003,1,8.927,9.427,SAS24,CUUR0000SAS24
All items,2004,0,100.0,100.0,SA0,CUUR0000SA0
Food and beverages,2004,1,15.291,17.024,SAF,CUUR0000SAF
Food,2004,1,14.295,15.94,SAF1,CUUR0000SAF1
Food at home,2004,2,8.183,9.54,SAF11,CUUR0000SAF11
Cereals and bakery products,2004,2,1.185,1.342,SAF111,CUUR0000SAF111
Cereals and cereal products,2004,3,0.4,0.467,SEFA,CUUR0000SEFA
Flour and prepared flour mixes,2004,3,0.05,0.061,SEFA01,CUUR0000SEFA01
Breakfast cereal,2004,3,0.221,0.249,SEFA02,CUUR0000SEFA02
"Rice, pasta, cornmeal",2004,3,0.128,0.157,SEFA03,CUUR0000SEFA03
Bakery products,2004,3,0.784,0.875,SEFB,CUUR0000SEFB
Bread,2004,3,0.225,0.26,SEFB01,CUUR0000SEFB01
"Fresh biscuits, rolls, muffins",2004,3,0.109,0.116,SEFB02,CUUR0000SEFB02
"Cakes, cupcakes, and cookies",2004,3,0.22,0.251,SEFB03,CUUR0000SEFB03
Other bakery products,2004,3,0.23,0.249,SEFB04,CUUR0000SEFB04
"Meats, poultry, fish, and eggs",2004,2,2.272,2.845,SAF112,CUUR0000SAF112
"Meats, poultry, and fish",2004,3,2.178,2.725,SAF1121,CUUR0000SAF1121
Meats,2004,3,1.456,1.841,SAF11211,CUUR0000SAF11211
Beef and veal,2004,4,0.725,0.916,SEFC,CUUR0000SEFC
Uncooked ground beef,2004,4,0.268,0.354,SEFC01,CUUR0000SEFC01
Uncooked beef roasts,2004,4,0.131,0.165,SEFC02,CUUR0000SEFC02
Uncooked beef steaks,2004,4,0.269,0.326,SEFC03,CUUR0000SEFC03
Uncooked other beef and veal,2004,4,0.057,0.071,SEFC04,CUUR0000SEFC04
Pork,2004,4,0.449,0.57,SEFD,CUUR0000SEFD
products,2004,6,0.147,0.177,,
Ham,2004,4,0.096,0.118,SEFD02,CUUR0000SEFD02
Pork chops,2004,4,0.103,0.141,SEFD03,CUUR0000SEFD03
Other pork including roasts and picnics,2004,4,0.102,0.133,,
Other meats,2004,4,0.282,0.354,SEFE,CUUR0000SEFE
Poultry,2004,3,0.413,0.53,SEFF,CUUR0000SEFF
Chicken,2004,4,0.332,0.437,SEFF01,CUUR0000SEFF01
Other poultry including turkey,2004,4,0.081,0.093,,
Fish and seafood,2004,3,0.309,0.354,SEFG,CUUR0000SEFG
Fresh fish and seafood,2004,4,0.181,0.21,SEFG01,CUUR0000SEFG01
Processed fish and seafood,2004,4,0.127,0.145,SEFG02,CUUR0000SEFG02
Eggs,2004,3,0.094,0.12,SEFH,CUUR0000SEFH
Dairy and related products,2004,2,0.849,0.962,SEFJ,CUUR0000SEFJ
Milk,2004,3,0.324,0.39,SEFJ01,CUUR0000SEFJ01
Cheese and related products,2004,3,0.252,0.276,SEFJ02,CUUR0000SEFJ02
Ice cream and related products,2004,3,0.147,0.167,SEFJ03,CUUR0000SEFJ03
Other dairy and related products,2004,3,0.126,0.129,SEFJ04,CUUR0000SEFJ04
Fresh fruits,2004,3,0.498,0.537,SEFK,CUUR0000SEFK
Apples,2004,4,0.086,0.098,SEFK01,CUUR0000SEFK01
Bananas,2004,4,0.075,0.086,SEFK02,CUUR0000SEFK02
Citrus fruits,2004,4,0.094,0.103,SEFK03,CUUR0000SEFK03
Other fresh fruits,2004,4,0.243,0.25,SEFK04,CUUR0000SEFK04
Potatoes,2004,4,0.081,0.094,SEFL01,CUUR0000SEFL01
Lettuce,2004,4,0.061,0.07,SEFL02,CUUR0000SEFL02
Tomatoes,2004,4,0.138,0.165,SEFL03,CUUR0000SEFL03
dried,2004,5,0.044,0.05,,
Nonalcoholic beverages and beverage materials,2004,2,0.884,1.051,SAF114,CUUR0000SAF114
Juices and nonalcoholic drinks,2004,3,0.61,0.749,SEFN,CUUR0000SEFN
Carbonated drinks,2004,3,0.316,0.408,SEFN01,CUUR0000SEFN01
Frozen noncarbonated juices and drinks,2004,3,0.025,0.029,SEFN02,CUUR0000SEFN02
Nonfrozen noncarbonated juices and drinks,2004,3,0.269,0.311,SEFN03,CUUR0000SEFN03
Beverage materials including coffee and tea,2004,3,0.275,0.302,SEFP,CUUR0000SEFP
Coffee,2004,3,0.1,0.101,SEFP01,CUUR0000SEFP01
Other beverage materials including tea,2004,3,0.174,0.201,SEFP02,CUUR0000SEFP02
Other food at home,2004,2,1.716,1.934,SAF115,CUUR0000SAF115
Sugar and sweets,2004,3,0.296,0.311,SEFR,CUUR0000SEFR
Sugar and artificial sweeteners,2004,3,0.051,0.064,SEFR01,CUUR0000SEFR01
Candy and chewing gum,2004,3,0.19,0.189,SEFR02,CUUR0000SEFR02
Other sweets,2004,3,0.055,0.057,SEFR03,CUUR0000SEFR03
Fats and oils,2004,3,0.258,0.311,SEFS,CUUR0000SEFS
Butter and margarine,2004,3,0.083,0.097,SEFS01,CUUR0000SEFS01
Salad dressing,2004,3,0.07,0.082,SEFS02,CUUR0000SEFS02
Other fats and oils including peanut butter,2004,3,0.104,0.133,SEFS03,CUUR0000SEFS03
Other foods,2004,3,1.163,1.312,SEFT,CUUR0000SEFT
Soups,2004,3,0.092,0.099,SEFT01,CUUR0000SEFT01
Frozen and freeze dried prepared foods,2004,3,0.241,0.27,SEFT02,CUUR0000SEFT02
Snacks,2004,3,0.249,0.272,SEFT03,CUUR0000SEFT03
"Spices, seasonings, condiments, sauces",2004,3,0.208,0.231,SEFT04,CUUR0000SEFT04
Baby food,2004,3,0.072,0.098,,
Other miscellaneous foods,2004,3,0.301,0.341,SEFT06,CUUR0000SEFT06
Food away from home,2004,2,6.113,6.4,SEFV,CUUR0000SEFV
Full service meals and snacks,2004,2,2.68,2.325,SEFV01,CUUR0000SEFV01
Limited service meals and snacks,2004,2,2.664,3.204,SEFV02,CUUR0000SEFV02
Food at employee sites and schools,2004,2,0.302,0.401,SEFV03,CUUR0000SEFV03
Food from vending machines and mobile vendors,2004,2,0.135,0.217,SEFV04,CUUR0000SEFV04
Other food away from home,2004,2,0.332,0.251,SEFV05,CUUR0000SEFV05
Alcoholic beverages,2004,2,0.996,1.084,SAF116,CUUR0000SAF116
Alcoholic beverages at home,2004,2,0.635,0.708,SEFW,CUUR0000SEFW
"Beer, ale, and other malt beverages at home",2004,3,0.332,0.49,SEFW01,CUUR0000SEFW01
Distilled spirits at home,2004,3,0.108,0.091,SEFW02,CUUR0000SEFW02
Wine at home,2004,3,0.195,0.126,SEFW03,CUUR0000SEFW03
Alcoholic beverages away from home,2004,2,0.361,0.376,SEFX,CUUR0000SEFX
Housing,2004,1,41.993,38.973,SAH,CUUR0000SAH
Shelter,2004,1,32.686,29.902,SAH1,CUUR0000SAH1
Rent of primary residence,2004,2,6.133,8.025,SEHA,CUUR0000SEHA
Lodging away from home,2004,2,3.008,1.742,SEHB,CUUR0000SEHB
"Housing at school, excluding board",2004,2,0.211,0.168,SEHB01,CUUR0000SEHB01
motels,2004,4,2.798,1.574,,
Owners' equivalent rent of primary residence,2004,2,23.158,19.795,SEHC01,CUUR0000SEHC01
Tenants' and household insurance,2004,2,0.387,0.339,SEHD,CUUR0000SEHD
Fuels and utilities,2004,1,4.951,5.288,SAH2,CUUR0000SAH2
Fuels,2004,2,4.021,4.336,,
Fuel oil and other fuels,2004,2,0.3,0.281,SEHE,CUUR0000SEHE
Fuel oil,2004,3,0.204,0.187,SEHE01,CUUR0000SEHE01
Other household fuels,2004,3,0.095,0.094,,
Gas (piped) and electricity,2004,2,3.722,4.055,SEHF01,CUUR0000SEHF01
Electricity,2004,3,2.405,2.667,SEHF01,CUUR0000SEHF01
Utility (piped) gas service,2004,3,1.317,1.388,SEHF02,CUUR0000SEHF02
Water and sewer and trash collection services,2004,2,0.93,0.952,SEHG,CUUR0000SEHG
Water and sewerage maintenance,2004,3,0.687,0.721,SEHG01,CUUR0000SEHG01
Garbage and trash collection,2004,3,0.242,0.231,SEHG02,CUUR0000SEHG02
Household furnishings and operations,2004,1,4.355,3.783,SAH3,CUUR0000SAH3
Window and floor coverings and other linens,2004,2,0.301,0.282,SEHH,CUUR0000SEHH
Floor coverings,2004,2,0.037,0.044,SEHH01,CUUR0000SEHH01
Window coverings,2004,2,0.075,0.045,SEHH02,CUUR0000SEHH02
Other linens,2004,2,0.189,0.193,SEHH03,CUUR0000SEHH03
Furniture and bedding,2004,2,0.979,0.845,SEHJ,CUUR0000SEHJ
Bedroom furniture,2004,2,0.296,0.27,SEHJ01,CUUR0000SEHJ01
"Living room, kitchen, and dining room furniture",2004,2,0.488,0.409,SEHJ02,CUUR0000SEHJ02
Other furniture,2004,2,0.18,0.142,SEHJ03,CUUR0000SEHJ03
Unsampled furniture,2004,2,0.014,0.024,,
Appliances,2004,2,0.291,0.319,SEHK,CUUR0000SEHK
Major appliances,2004,2,0.165,0.186,SEHK01,CUUR0000SEHK01
Other appliances,2004,2,0.121,0.125,SEHK02,CUUR0000SEHK02
Unsampled appliances,2004,2,0.006,0.007,,
Other household equipment and furnishings,2004,2,0.648,0.555,SEHL,CUUR0000SEHL
"Clocks, lamps, and decorator items",2004,2,0.355,0.303,SEHL01,CUUR0000SEHL01
Indoor plants and flowers,2004,2,0.135,0.106,SEHL02,CUUR0000SEHL02
Dishes and flatware,2004,2,0.07,0.059,SEHL03,CUUR0000SEHL03
"Tools, hardware, outdoor equipment and supplies",2004,2,0.647,0.613,SEHM,CUUR0000SEHM
"Tools, hardware and supplies",2004,2,0.159,0.185,SEHM01,CUUR0000SEHM01
Outdoor equipment and supplies,2004,2,0.325,0.272,SEHM02,CUUR0000SEHM02
supplies,2004,4,0.163,0.155,,
Housekeeping supplies,2004,2,0.782,0.849,SEHN,CUUR0000SEHN
Household cleaning products,2004,2,0.34,0.395,SEHN01,CUUR0000SEHN01
Household paper products,2004,2,0.195,0.22,SEHN02,CUUR0000SEHN02
Miscellaneous household products,2004,2,0.246,0.234,SEHN03,CUUR0000SEHN03
Household operations,2004,2,0.707,0.321,SEHP,CUUR0000SEHP
Domestic services,2004,2,0.238,0.063,SEHP01,CUUR0000SEHP01
Gardening and lawncare services,2004,2,0.237,0.095,SEHP02,CUUR0000SEHP02
"Moving, storage, freight expense",2004,2,0.089,0.065,SEHP03,CUUR0000SEHP03
Repair of household items,2004,2,0.076,0.059,SEHP04,CUUR0000SEHP04
Unsampled household operations,2004,2,0.067,0.04,SEHP,CUUR0000SEHP
Apparel,2004,1,3.841,4.208,SAA,CUUR0000SAA
Men's and boys' apparel,2004,1,0.977,1.063,SAA1,CUUR0000SAA1
Men's apparel,2004,2,0.781,0.808,SEAA,CUUR0000SEAA
"Men's suits, sport coats, and outerwear",2004,2,0.186,0.154,SEAA01,CUUR0000SEAA01
Men's furnishings,2004,2,0.18,0.19,SEAA02,CUUR0000SEAA02
Men's shirts and sweaters,2004,2,0.223,0.218,SEAA03,CUUR0000SEAA03
Men's pants and shorts,2004,2,0.168,0.221,SEAA04,CUUR0000SEAA04
Unsampled men's apparel,2004,2,0.025,0.025,,
Boys' apparel,2004,2,0.196,0.255,SEAB,CUUR0000SEAB
Women's and girls' apparel,2004,1,1.638,1.664,SAA2,CUUR0000SAA2
Women's apparel,2004,2,1.364,1.31,SEAC,CUUR0000SEAC
Women's outerwear,2004,2,0.111,0.102,SEAC01,CUUR0000SEAC01
Women's dresses,2004,2,0.145,0.15,SEAC02,CUUR0000SEAC02
Women's suits and separates,2004,2,0.73,0.686,SEAC03,CUUR0000SEAC03
accessories,2004,4,0.342,0.334,,
Unsampled women's apparel,2004,2,0.036,0.037,,
Girls' apparel,2004,2,0.274,0.355,SEAD,CUUR0000SEAD
Footwear,2004,1,0.765,0.991,SEAE,CUUR0000SEAE
Men's footwear,2004,2,0.235,0.338,SEAE01,CUUR0000SEAE01
Boys' and girls' footwear,2004,2,0.168,0.254,SEAE02,CUUR0000SEAE02
Women's footwear,2004,2,0.362,0.4,SEAE03,CUUR0000SEAE03
Infants' and toddlers' apparel,2004,1,0.188,0.242,SEAF,CUUR0000SEAF
Jewelry and watches,2004,1,0.274,0.248,SEAG,CUUR0000SEAG
Watches,2004,2,0.037,0.032,SEAG01,CUUR0000SEAG01
Jewelry,2004,2,0.237,0.215,SEAG02,CUUR0000SEAG02
Transportation,2004,1,17.414,19.845,SAT,CUUR0000SAT
Private transportation,2004,1,16.385,19.072,SAT1,CUUR0000SAT1
New and used motor vehicles,2004,2,7.744,9.146,SETA,CUUR0000SETA
New vehicles,2004,2,4.692,4.725,SETA01,CUUR0000SETA01
Used cars and trucks,2004,2,2.037,3.536,SETA02,CUUR0000SETA02
Leased cars and trucks,2004,2,0.8,0.689,SETA03,CUUR0000SETA03
Car and truck rental,2004,2,0.1,0.07,SETA04,CUUR0000SETA04
Unsampled new and used motor vehicles,2004,2,0.115,0.126,SETA,CUUR0000SETA
Motor fuel,2004,2,3.969,4.843,SETB,CUUR0000SETB
Gasoline (all types),2004,2,3.934,4.803,SETB01,CUUR0000SETB01
Other motor fuels,2004,2,0.035,0.04,SETB02,CUUR0000SETB02
Motor vehicle parts and equipment,2004,2,0.364,0.449,SETC,CUUR0000SETC
Tires,2004,2,0.212,0.237,SETC01,CUUR0000SETC01
Vehicle accessories other than tires,2004,2,0.153,0.212,SETC02,CUUR0000SETC02
Motor vehicle maintenance and repair,2004,2,1.341,1.357,SETD,CUUR0000SETD
Motor vehicle body work,2004,2,0.083,0.082,SETD01,CUUR0000SETD01
Motor vehicle maintenance and servicing,2004,2,0.473,0.462,SETD02,CUUR0000SETD02
Motor vehicle repair,2004,2,0.763,0.793,SETD03,CUUR0000SETD03
Unsampled service policies,2004,2,0.022,0.021,,
Motor vehicle insurance,2004,2,2.47,2.825,SETE,CUUR0000SETE
Motor vehicle fees,2004,2,0.496,0.452,SETF,CUUR0000SETF
State and local registration and license,2004,2,0.31,0.314,,
Parking and other fees,2004,2,0.164,0.12,SETF03,CUUR0000SETF03
Unsampled motor vehicle fees,2004,2,0.022,0.018,SETF,CUUR0000SETF
Public transportation,2004,1,1.029,0.773,SETG,CUUR0000SETG
Airline fare,2004,2,0.605,0.389,SETG01,CUUR0000SETG01
Other intercity transportation,2004,2,0.137,0.084,SETG02,CUUR0000SETG02
Intracity transportation,2004,2,0.282,0.29,SETG03,CUUR0000SETG03
Unsampled public transportation,2004,2,0.005,0.01,SAT,CUUR0000SAT
Medical care,2004,1,6.132,5.014,SAM,CUUR0000SAM
Medical care commodities,2004,1,1.484,1.126,SAM1,CUUR0000SAM1
Prescription drugs and medical supplies,2004,2,1.092,0.789,SEMF01,CUUR0000SEMF01
Prescription drugs and medical supplies,2004,2,1.084,0.784,SEMF01,CUUR0000SEMF01
Unsampled rent or repair of medical equipment,2004,2,0.008,0.005,,
Nonprescription drugs and medical supplies,2004,2,0.392,0.337,SEMF01,CUUR0000SEMF01
Internal and respiratory over-the-counter drugs,2004,2,0.276,0.256,,
Nonprescription medical equipment and supplies,2004,2,0.115,0.082,SEMG,CUUR0000SEMG
Medical care services,2004,1,4.649,3.888,SAM2,CUUR0000SAM2
Professional services,2004,2,2.767,2.27,SEMC,CUUR0000SEMC
Physicians' services,2004,2,1.555,1.341,SEMC01,CUUR0000SEMC01
Dental services,2004,2,0.722,0.578,SEMC02,CUUR0000SEMC02
Eyeglasses and eye care,2004,2,0.236,0.198,SEMC03,CUUR0000SEMC03
Services by other medical professionals,2004,2,0.254,0.153,SEMC04,CUUR0000SEMC04
Hospital and related services,2004,2,1.516,1.276,SEMD,CUUR0000SEMD
Hospital services,2004,2,1.452,1.261,SEMD01,CUUR0000SEMD01
Nursing homes and adult daycare,2004,2,0.063,0.015,,
Health insurance,2004,2,0.366,0.343,SEME,CUUR0000SEME
Recreation,2004,1,5.733,5.546,SAR,CUUR0000SAR
Video and audio,2004,1,1.691,1.878,SERA,CUUR0000SERA
Televisions,2004,2,0.132,0.135,SERA01,CUUR0000SERA01
Cable and satellite television and radio service,2004,2,1.045,1.152,,
Other video equipment,2004,2,0.043,0.042,SERA03,CUUR0000SERA03
rental,2004,4,0.16,0.194,,
Audio equipment,2004,2,0.104,0.139,SERA05,CUUR0000SERA05
"Audio discs, tapes and other media",2004,2,0.116,0.124,,
Unsampled video and audio,2004,2,0.091,0.092,SERA,CUUR0000SERA
"Pets, pet products and services",2004,1,0.6,0.593,SERB,CUUR0000SERB
Pets and pet products,2004,2,0.345,0.379,SERB01,CUUR0000SERB01
Pet services including veterinary,2004,2,0.254,0.215,SERB02,CUUR0000SERB02
Sporting goods,2004,1,0.616,0.714,SERC,CUUR0000SERC
Sports vehicles including bicycles,2004,2,0.315,0.392,SERC01,CUUR0000SERC01
Sports equipment,2004,2,0.294,0.317,SERC02,CUUR0000SERC02
Unsampled sporting goods,2004,2,0.007,0.005,SERC,CUUR0000SERC
Photography,2004,1,0.212,0.186,SERD,CUUR0000SERD
Photographic equipment and supplies,2004,2,0.091,0.085,SERD01,CUUR0000SERD01
Photographers and film processing,2004,2,0.121,0.1,,
Unsampled photography,2004,2,0.0,0.001,,
Other recreational goods,2004,1,0.425,0.441,SERE,CUUR0000SERE
Toys,2004,2,0.296,0.327,SERE01,CUUR0000SERE01
"Sewing machines, fabric and supplies",2004,2,0.06,0.054,SERE02,CUUR0000SERE02
Music instruments and accessories,2004,2,0.058,0.042,SERE03,CUUR0000SERE03
Unsampled recreation commodities,2004,2,0.012,0.018,SAC,CUUR0000SAC
Recreation services,2004,1,1.819,1.46,SARS,CUUR0000SARS
sports,2004,4,0.587,0.372,,
Admissions,2004,2,0.733,0.649,SERF02,CUUR0000SERF02
Fees for lessons or instructions,2004,2,0.242,0.165,SERF03,CUUR0000SERF03
Unsampled recreation services,2004,2,0.257,0.274,,
Recreational reading materials,2004,1,0.371,0.273,SERG,CUUR0000SERG
Newspapers and magazines,2004,2,0.223,0.176,SERG01,CUUR0000SERG01
Recreational books,2004,2,0.147,0.097,SERG02,CUUR0000SERG02
Unsampled recreational reading materials,2004,2,0.0,0.0,SERG,CUUR0000SERG
Education and communication,2004,1,5.846,5.498,SAE,CUUR0000SAE
Education,2004,1,2.931,2.361,SAE1,CUUR0000SAE1
Educational books and supplies,2004,2,0.22,0.217,SEEA,CUUR0000SEEA
"Tuition, other school fees, and childcare",2004,2,2.712,2.145,SEEB,CUUR0000SEEB
College tuition and fees,2004,2,1.372,0.952,SEEB01,CUUR0000SEEB01
Elementary and high school tuition and fees,2004,2,0.373,0.233,SEEB02,CUUR0000SEEB02
Child care and nursery school,2004,2,0.8,0.815,SEEB03,CUUR0000SEEB03
Technical and business school tuition and fees,2004,2,0.081,0.062,SEEB04,CUUR0000SEEB04
childcare,2004,4,0.086,0.082,,
Communication,2004,1,2.914,3.137,SAE2,CUUR0000SAE2
Postage and delivery services,2004,2,0.177,0.147,SEEC,CUUR0000SEEC
Postage,2004,2,0.17,0.141,SEEC01,CUUR0000SEEC01
Delivery services,2004,2,0.007,0.006,SEEC02,CUUR0000SEEC02
Information and information processing,2004,2,2.737,2.99,SAE21,CUUR0000SAE21
Telephone services,2004,2,2.187,2.473,SEED,CUUR0000SEED
"Land-line telephone services, local charges",2004,3,0.892,1.005,,
charges,2004,5,0.679,0.777,,
Wireless telephone services,2004,3,0.616,0.692,SEED03,CUUR0000SEED03
"Information technology, hardware and services",2004,2,0.55,0.517,SEEE,CUUR0000SEEE
Personal computers and peripheral equipment,2004,2,0.192,0.171,SEEE01,CUUR0000SEEE01
Computer software and accessories,2004,2,0.038,0.034,SEEE02,CUUR0000SEEE02
providers,2004,4,0.246,0.244,,
consumer information items,2004,4,0.068,0.063,,
Unsampled information and information processing,2004,2,0.005,0.005,,
Other goods and services,2004,1,3.75,3.891,SAG,CUUR0000SAG
Tobacco and smoking products,2004,1,0.804,1.244,SEGA,CUUR0000SEGA
Cigarettes,2004,2,0.74,1.167,SEGA01,CUUR0000SEGA01
Tobacco products other than cigarettes,2004,2,0.06,0.069,SEGA02,CUUR0000SEGA02
Unsampled tobacco and smoking products,2004,2,0.005,0.007,SEGA,CUUR0000SEGA
Personal care,2004,1,2.946,2.648,SAG1,CUUR0000SAG1
Personal care products,2004,2,0.658,0.712,SEGB,CUUR0000SEGB
care products,2004,4,0.347,0.394,SEGB,CUUR0000SEGB
implements,2004,4,0.307,0.312,,
Unsampled personal care products,2004,2,0.004,0.006,SEGB,CUUR0000SEGB
Personal care services,2004,2,0.652,0.611,SEGC,CUUR0000SEGC
Haircuts and other personal care services,2004,2,0.652,0.611,SEGC01,CUUR0000SEGC01
Miscellaneous personal services,2004,2,1.454,1.16,SEGD,CUUR0000SEGD
Legal services,2004,2,0.355,0.29,SEGD01,CUUR0000SEGD01
Funeral expenses,2004,2,0.244,0.192,SEGD02,CUUR0000SEGD02
Laundry and dry cleaning services,2004,2,0.338,0.351,SEGD03,CUUR0000SEGD03
cleaning,2004,4,0.043,0.025,,
Financial services,2004,2,0.242,0.197,SEGD05,CUUR0000SEGD05
Care of invalids and elderly at home,2004,2,0.136,0.02,SEMD03,CUUR0000SEMD03
Unsampled items,2004,2,0.096,0.085,,
Miscellaneous personal goods,2004,2,0.181,0.165,SEGE,CUUR0000SEGE
All items,2004,0,100.0,100.0,SA0,CUUR0000SA0
Commodities,2004,1,40.239,44.809,SAC,CUUR0000SAC
Commodities less food and beverages,2004,1,24.948,27.786,SACL11,CUUR0000SACL11
Nondurables less food and beverages,2004,2,13.98,15.322,SANL11,CUUR0000SANL11
"Nondurables less food, beverages, and apparel",2004,2,10.139,11.113,SANL113,CUUR0000SANL113
Durables,2004,2,10.967,12.464,SAD,CUUR0000SAD
Services,2004,1,59.761,55.191,SAS,CUUR0000SAS
Rent of shelter,2004,1,32.3,29.562,SAS2RS,CUUR0000SAS2RS
Transportation services,2004,1,6.235,6.166,SAS4,CUUR0000SAS4
Other services,2004,1,10.833,9.907,SAS367,CUUR0000SAS367
All items less food,2004,1,85.705,84.06,SA0L1,CUUR0000SA0L1
All items less shelter,2004,1,67.314,70.098,SA0L2,CUUR0000SA0L2
All items less medical care,2004,1,93.868,94.986,SA0L5,CUUR0000SA0L5
Commodities less food,2004,1,25.943,28.87,SACL1,CUUR0000SACL1
Nondurables less food,2004,1,14.976,16.406,SANL1,CUUR0000SANL1
Nondurables less food and apparel,2004,1,11.135,12.197,SANL13,CUUR0000SANL13
Nondurables,2004,1,29.271,32.346,SAN,CUUR0000SAN
Apparel less footwear,2004,1,3.076,3.217,SA311,CUUR0000SA311
Services less rent of shelter,2004,1,27.462,25.628,SASL2RS,CUUR0000SASL2RS
Services less medical care services,2004,1,55.113,51.303,SASL5,CUUR0000SASL5
Energy,2004,1,7.991,9.179,SA0E,CUUR0000SA0E
All items less energy,2004,1,92.009,90.821,SA0LE,CUUR0000SA0LE
All items less food and energy,2004,1,77.714,74.881,SA0L1E,CUUR0000SA0L1E
Commodities less food and energy commodities,2004,2,21.674,23.745,SACL1E,CUUR0000SACL1E
Energy commodities,2004,2,4.269,5.124,SACE,CUUR0000SACE
Services less energy services,2004,2,56.04,51.136,SASLE,CUUR0000SASLE
Domestically produced farm food,2004,1,6.915,8.049,SAN1D,CUUR0000SAN1D
Utilities and public transportation,2004,1,8.912,9.405,SAS24,CUUR0000SAS24
All items,2005,0,100.0,100.0,SA0,CUUR0000SA0
Food and beverages,2005,1,15.051,16.537,SAF,CUUR0000SAF
Food,2005,1,13.942,15.519,SAF1,CUUR0000SAF1
Food at home,2005,2,7.988,9.347,SAF11,CUUR0000SAF11
Cereals and bakery products,2005,2,1.098,1.275,SAF111,CUUR0000SAF111
Cereals and cereal products,2005,3,0.361,0.44,SEFA,CUUR0000SEFA
Flour and prepared flour mixes,2005,3,0.046,0.054,SEFA01,CUUR0000SEFA01
Breakfast cereal,2005,3,0.203,0.242,SEFA02,CUUR0000SEFA02
"Rice, pasta, cornmeal",2005,3,0.111,0.145,SEFA03,CUUR0000SEFA03
Bakery products,2005,3,0.738,0.835,SEFB,CUUR0000SEFB
Bread,2005,3,0.215,0.239,SEFB01,CUUR0000SEFB01
"Fresh biscuits, rolls, muffins",2005,3,0.1,0.105,SEFB02,CUUR0000SEFB02
"Cakes, cupcakes, and cookies",2005,3,0.209,0.248,SEFB03,CUUR0000SEFB03
Other bakery products,2005,3,0.213,0.243,SEFB04,CUUR0000SEFB04
"Meats, poultry, fish, and eggs",2005,2,2.133,2.653,SAF112,CUUR0000SAF112
"Meats, poultry, and fish",2005,3,2.044,2.545,SAF1121,CUUR0000SAF1121
Meats,2005,3,1.327,1.688,SAF11211,CUUR0000SAF11211
Beef and veal,2005,4,0.641,0.823,SEFC,CUUR0000SEFC
Uncooked ground beef,2005,4,0.237,0.324,SEFC01,CUUR0000SEFC01
Uncooked beef roasts,2005,4,0.108,0.132,SEFC02,CUUR0000SEFC02
Uncooked beef steaks,2005,4,0.245,0.302,SEFC03,CUUR0000SEFC03
Uncooked other beef and veal,2005,4,0.051,0.065,SEFC04,CUUR0000SEFC04
Pork,2005,4,0.422,0.539,SEFD,CUUR0000SEFD
products,2005,6,0.133,0.171,,
Ham,2005,4,0.097,0.114,SEFD02,CUUR0000SEFD02
Pork chops,2005,4,0.083,0.121,SEFD03,CUUR0000SEFD03
Other pork including roasts and picnics,2005,4,0.108,0.133,,
Other meats,2005,4,0.265,0.326,SEFE,CUUR0000SEFE
Poultry,2005,3,0.383,0.485,SEFF,CUUR0000SEFF
Chicken,2005,4,0.308,0.401,SEFF01,CUUR0000SEFF01
Other poultry including turkey,2005,4,0.075,0.084,,
Fish and seafood,2005,3,0.334,0.372,SEFG,CUUR0000SEFG
